Num,NGC,R [kpc],u [km/s],SUM [1/kpc],M(R) (M_Sonne)
1,2419,77.1,-4,0.0013621917,860715746.424967
2,5694,45.3,-281,0.0036806239,1572378810250.63
3,7006,43.5,-109,0.0060949912,1092365760068.21
4,2298,26.5,-187,0.0100581979,916709333695.748
5,6229,24.8,63,0.014293076,665447184096.125
6,4147,24,141,0.0186691168,587501912064.234
7,1904,22.9,36,0.0232553603,475723053907.872
8,5824,20.9,-156,0.0282804789,454250526479.909
9,5024,19.6,-120,0.0336388962,413260774405.024
10,1851,18.3,76,0.039377966,363779436327.673
11,5634,17.4,-96,0.0454138843,330300553950.284
12,6864,15.4,-122,0.052233688,308056208296.905
13,6981,14.9,-113,0.0592823443,287212125410.56
14,6934,13.9,-146,0.0668380981,278114103023.441
15,7089,13.3,181,0.0747347129,280850780416.23
16,6779,12.9,98,0.0828761841,261752778531.04
17,7078,12.4,111,0.0913459404,247366644961.908
18,5272,12,-100,0.1000980219,233058813297.891
19,6681,11.5,229,0.1092306287,248753823650.274
20,6341,11.1,103,0.1186923384,235473924098.001
21,4590,10.8,-292,0.1284168734,266296695843.701
22,7099,10,-72,0.1389193712,248898809157.226
23,6205,9,-36,0.1505888132,230241772748.432
24,6284,8.6,37,0.1628010199,213586830805.476
25,6652,7.4,-98,0.1769935845,200436207919.983
26,5986,7.2,-79,0.191580387,187562286917.077
27,5904,7.1,80,0.2063726374,176390823410.405
28,6171,6.7,-109,0.2220480072,167859484982.436
29,6440,6.5,-76,0.2382056962,158250296869.976
30,6638,6.2,46,0.2551452087,148351521602.651
31,6656,6.2,-83,0.2720847213,140970786574.988
32,6626,5.2,57,0.2922818324,132044059929.425
33,6218,5,124,0.313286828,126787372255.689
34,6293,5,-63,0.3342918236,119690803591.301
35,6254,4.9,163,0.3557254926,117952186983.171
36,6402,4.4,-12,0.3795948057,110563030153.11
37,6712,4.3,5,0.4040192192,103883632078.577
38,6304,4.2,-93,0.4290251663,99305996655.9154
39,6723,3.6,17,0.4581987713,93029383658.9348
40,6624,3.5,101,0.4882059079,88842566230.7372
41,6093,3.4,11,0.5190956073,83572913784.3113
42,6273,3.4,112,0.5499853067,80550408158.0689
43,6637,3.4,122,0.5808750061,78144559860.2601
44,6715,3.4,151,0.6117647055,76929985970.084
45,6333,3.1,272,0.6456437306,81290194479.6563
46,6266,2.9,-90,0.6818592402,77843136937.9796
47,6356,2.3,84,0.7275222741,73668008386.8146
48,6441,2.3,-80,0.773185308,69923859598.0273
